subject,strEnc,cerEnc,difficulty,targetParam,accuracy
A6,hue,value,1,LM,0
A6,width,value,0,LH,1
A6,width,value,0,LM,1
A6,width,value,0,MH,1
A6,width,value,1,LH,1
A6,width,value,1,LM,1
A6,width,value,1,MH,1
A6,sat,grain,0,LH,1
A6,sat,grain,0,LM,0
A6,sat,grain,0,MH,1
A6,sat,grain,1,LH,1
A6,sat,grain,1,LM,1
A6,sat,grain,1,MH,1
A6,width,grain,0,LM,1
A6,width,grain,0,LH,1
A6,width,grain,0,MH,1
A6,width,grain,1,LM,1
A6,width,grain,1,MH,1
A6,width,grain,1,LH,1
A6,sat,value,0,LM,1
A6,sat,value,0,MH,1
A6,sat,value,0,LH,1
A6,sat,value,1,LM,0
A6,sat,value,1,LH,1
A6,sat,value,1,MH,1
A7,sat,blur,0,LH,0
A7,sat,blur,0,MH,1
A7,sat,blur,0,LM,0
A7,sat,blur,1,LM,0
A7,sat,blur,1,LH,1
A7,sat,blur,1,MH,1
A7,sat,trans,0,MH,0
A7,sat,trans,0,LH,0
A7,sat,trans,0,LM,1
A7,sat,trans,1,MH,0
A7,sat,trans,1,LM,1
A7,sat,trans,1,LH,1
A7,width,trans,0,LH,0
A7,width,trans,0,LM,0
A7,width,trans,0,MH,0
A7,width,trans,1,MH,1
A7,width,trans,1,LH,1
A7,width,trans,1,LM,1
A7,hue,blur,0,LM,0
A7,hue,blur,0,MH,1
A7,hue,blur,0,LH,0
A7,hue,blur,1,LM,0
A7,hue,blur,1,LH,0
A7,hue,blur,1,MH,0
A7,width,blur,0,MH,1
A7,width,blur,0,LM,0
A7,width,blur,0,LH,0
A7,width,blur,1,MH,1
A7,width,blur,1,LM,1
A7,width,blur,1,LH,0
A7,hue,trans,0,LH,1
A7,hue,trans,0,LM,1
A7,hue,trans,0,MH,0
A7,hue,trans,1,LM,1
A7,hue,trans,1,MH,0
A7,hue,trans,1,LH,0
A7,width,value,0,LH,0
A7,width,value,0,LM,1
A7,width,value,0,MH,0
A7,width,value,1,MH,0
A7,width,value,1,LH,0
A7,width,value,1,LM,0
A7,hue,grain,0,LH,0
A7,hue,grain,0,MH,0
A7,hue,grain,0,LM,1
A7,hue,grain,1,LH,0
A7,hue,grain,1,MH,0
A7,hue,grain,1,LM,1
A7,width,grain,0,MH,1
A7,width,grain,0,LH,1
A7,width,grain,0,LM,1
A7,width,grain,1,MH,1
A7,width,grain,1,LH,1
A7,width,grain,1,LM,1
A7,hue,value,0,LH,0
A7,hue,value,0,MH,1
A7,hue,value,0,LM,0
A7,hue,value,1,MH,0
A7,hue,value,1,LH,0
A7,hue,value,1,LM,0
A7,sat,value,0,LH,0
A7,sat,value,0,LM,1
A7,sat,value,0,MH,1
A7,sat,value,1,LH,0
A7,sat,value,1,MH,0
A7,sat,value,1,LM,1
A7,sat,grain,0,LH,0
A7,sat,grain,0,LM,1
A7,sat,grain,0,MH,0
A7,sat,grain,1,MH,1
A7,sat,grain,1,LH,1
A7,sat,grain,1,LM,0
P2,width,value,0,LM,1
P2,width,value,0,LH,1
P2,width,value,0,MH,1
P2,width,value,1,MH,0
P2,width,value,1,LH,1
P2,width,value,1,LM,0
P2,width,blur,0,LH,1
P2,width,blur,0,LM,1
P2,width,blur,0,MH,0
P2,width,blur,1,MH,0
P2,width,blur,1,LM,1
P2,width,blur,1,LH,1
P2,width,grain,0,LM,1
P2,width,grain,0,LH,1
P2,width,grain,0,MH,0
P2,width,grain,1,LM,1
P2,width,grain,1,LH,1
P2,width,grain,1,MH,1
P2,width,trans,0,LH,1
P2,width,trans,0,LM,1
P2,width,trans,0,MH,1
P2,width,trans,1,MH,1
P2,width,trans,1,LM,0
P2,width,trans,1,LH,1
P2,sat,value,0,LM,1
P2,sat,value,0,LH,1
P2,sat,value,0,MH,1
P2,sat,value,1,LM,1
P2,sat,value,1,MH,1
P2,sat,value,1,LH,1
P2,sat,blur,0,MH,1
P2,sat,blur,0,LM,1
P2,sat,blur,0,LH,1
P2,sat,blur,1,LH,1
P2,sat,blur,1,MH,1
P2,sat,blur,1,LM,1
P2,sat,grain,0,LM,1
P2,sat,grain,0,LH,1
P2,sat,grain,0,MH,1
P2,sat,grain,1,LM,1
P2,sat,grain,1,MH,1
P2,sat,grain,1,LH,1
P2,sat,trans,0,LM,1
P2,sat,trans,0,LH,1
P2,sat,trans,0,MH,1
P2,sat,trans,1,MH,1
P2,sat,trans,1,LM,1
P2,sat,trans,1,LH,1
P2,hue,value,0,LM,1
P2,hue,value,0,LH,0
P2,hue,value,0,MH,0
P2,hue,value,1,MH,1
P2,hue,value,1,LH,0
P2,hue,value,1,LM,1
P2,hue,blur,0,MH,1
P2,hue,blur,0,LM,1
P2,hue,blur,0,LH,1
P2,hue,blur,1,MH,1
P2,hue,blur,1,LH,1
P2,hue,blur,1,LM,1
P2,hue,grain,0,LH,1
P2,hue,grain,0,LM,1
P2,hue,grain,0,MH,1
P2,hue,grain,1,MH,1
P2,hue,grain,1,LH,1
P2,hue,grain,1,LM,1
P2,hue,trans,0,MH,1
P2,hue,trans,0,LM,0
P2,hue,trans,0,LH,1
P2,hue,trans,1,MH,1
P2,hue,trans,1,LM,1
P2,hue,trans,1,LH,1
