subject,strEnc,cerEnc,task,targetParam,accuracy
P2,width,blur,cp,LM,1
P2,width,blur,vs,1,1
P2,width,blur,vs,5,1
P2,width,blur,vs,3,0
P2,width,grain,vs,3,1
P2,width,grain,vs,1,1
P2,width,grain,vs,5,1
P2,width,grain,cp,LH,1
P2,width,grain,cp,MH,1
P2,width,grain,cp,LM,1
P2,width,trans,cp,MH,1
P2,width,trans,cp,LH,1
P2,width,trans,cp,LM,0
P2,width,trans,vs,5,1
P2,width,trans,vs,3,1
P2,width,trans,vs,1,1
P2,sat,value,vs,5,1
P2,sat,value,vs,1,1
P2,sat,value,vs,3,1
P2,sat,value,cp,LM,1
P2,sat,value,cp,MH,1
P2,sat,value,cp,LH,1
P2,sat,blur,cp,LM,1
P2,sat,blur,cp,LH,1
P2,sat,blur,cp,MH,1
P2,sat,blur,vs,1,1
P2,sat,blur,vs,3,0
P2,sat,blur,vs,5,0
P2,sat,grain,vs,1,1
P2,sat,grain,vs,5,1
P2,sat,grain,vs,3,1
P2,sat,grain,cp,LM,1
P2,sat,grain,cp,MH,1
P2,sat,grain,cp,LH,1
P2,sat,trans,cp,LH,1
P2,sat,trans,cp,MH,1
P2,sat,trans,cp,LM,1
P2,sat,trans,vs,1,1
P2,sat,trans,vs,5,0
P2,sat,trans,vs,3,1
P2,hue,value,vs,3,1
P2,hue,value,vs,5,0
P2,hue,value,vs,1,1
P2,hue,value,cp,LM,1
P2,hue,value,cp,MH,1
P2,hue,value,cp,LH,1
P2,hue,blur,cp,MH,1
P2,hue,blur,cp,LM,1
P2,hue,blur,cp,LH,1
P2,hue,blur,vs,5,1
P2,hue,blur,vs,1,0
P2,hue,blur,vs,3,1
P2,hue,grain,vs,5,1
P2,hue,grain,vs,1,0
P2,hue,grain,vs,3,1
P2,hue,grain,cp,LM,1
P2,hue,grain,cp,LH,1
P2,hue,grain,cp,MH,1
P2,hue,trans,cp,MH,1
P2,hue,trans,cp,LH,1
P2,hue,trans,cp,LM,0
P2,hue,trans,vs,1,1
P2,hue,trans,vs,5,1
P2,hue,trans,vs,3,0
